name,line
22nd Street,Expo Line
29th Avenue,Expo Line
Aberdeen,Canada Line
Braid,Expo Line
Brentwood Town Centre,Millennium Line
Bridgeport,Canada Line
Broadway–City Hall,Canada Line
Burquitlam,Millennium Line
Burrard,Expo Line
Capstan,Canada Line
Columbia,Expo Line
Commercial–Broadway,Expo Line
Coquitlam Central,Millennium Line
Edmonds,Expo Line
Gateway,Expo Line
Gilmore,Millennium Line
Granville,Expo Line
Holdom,Millennium Line
Inlet Centre,Millennium Line
Joyce–Collingwood,Expo Line
King Edward,Canada Line
King George,Expo Line
Lafarge Lake–Douglas,Millennium Line
Lake City Way,Millennium Line
Langara–49th Avenue,Canada Line
Lansdowne,Canada Line
Lincoln,Millennium Line
Lougheed Town Centre,Expo Line
Main Street–Science World,Expo Line
Marine Drive,Canada Line
Metrotown,Expo Line
Moody Centre,Millennium Line
Nanaimo,Expo Line
New Westminster,Expo Line
Oakridge–41st Avenue,Canada Line
Olympic Village,Canada Line
Patterson,Expo Line
Production Way–University,Expo Line
Renfrew,Millennium Line
Richmond–Brighouse,Canada Line
Royal Oak,Expo Line
Rupert,Millennium Line
Sapperton,Expo Line
Scott Road,Expo Line
Sea Island Centre,Canada Line
Sperling–Burnaby Lake,Millennium Line
Stadium–Chinatown,Expo Line
Surrey Central,Expo Line
Templeton,Canada Line
Vancouver City Centre,Canada Line
VCC–Clark,Millennium Line
Waterfront,Canada Line
Yaletown–Roundhouse,Canada Line
YVRR–Airport,Canada Line